Количество комнат,Площадь (м²),Этаж,Адрес,Цена ($),Цена (сом)
1,39.0,10,"Бишкек, Тунгуч м-н",56500,4897985
3,68.0,2,"Бишкек, Академия Наук",116500,10099385
1,61.0,12,"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",72000,6241680
1,32.0,4,"Бишкек, Золотой квадрат, манаса боконбаева",67500,5857650
2,60.0,12,"Бишкек, АЮ Grand,  ул. Анкара 1/31",62000,5380360
2,68.0,6,"Бишкек, Джал-29 м-н, Садырбаева 258а",125500,10890890
5,80.0,2,"Бишкек, Старый аэропорт, Ажыбек Баатыра 1/10",139000,12062420
3,80.0,10,"Бишкек, Баха, Джал-15",127000,11021060
2,37.0,3,"Иссык-Кульская область, с. Сары-Ой, Сары-Ой, ул. Нурдоолот ата 90а",56000,4859680
2,77.0,5,"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",92400,8018472
2,64.0,8,"Бишкек, Городок строителей, просп. Чуй/Ауэзова",92000,7983760
2,64.0,8,"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",66000,5727480
2,73.0,11,"Бишкек, 5 м-н",125000,10847500
3,90.0,3,"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",108000,9372240
1,32.0,5,"Бишкек, Гагарина, Тимура Фрунзе/Гагарина",50000,4339000
1,45.0,3,"Бишкек, Улан-2 м-н",66000,5727480
2,81.0,8,"Бишкек, Джал-29 м-н",95500,8287490
3,87.0,3,"Бишкек, Горького - Алма-Атинская",99500,8634610
2,82.0,4,"Бишкек, Джальская больница, Ахунбаева - Тыналиева",107000,9285460
1,50.0,5,"Бишкек, Азия Молл",79000,6855620
1,42.5,3,"Бишкек, Ден Сяопина - Фучика, Лесхозная 4",38250,3319335
3,77.0,10,"Бишкек, Асанбай м-н",173000,15012940
1,44.0,7,"Бишкек, Тунгуч м-н",58000,5033240
3,61.7,9,"Бишкек, Городок энергетиков",83500,7246130
2,52.0,9,"Бишкек, Достук",75500,6551890
2,56.0,4,"Бишкек, Джал-23 м-н (Нижний Джал)",88500,7680030
1,38.0,9,"Бишкек, Аламедин-1 м-н",52000,4512560
5,85.0,4,"Бишкек, Кок-Жар ж/м, Молдокулова/Куйручук",95000,8244100
3,129.0,6,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",245000,21261100
2,84.0,11,"Бишкек, 6 м-н, Сухэ-Батора-Юнусалиева",134400,11663232
2,87.0,9,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",143550,12457269
5,131.05,5,"Бишкек, Аламедин-1 м-н",123000,10673940
3,86.0,12,"Бишкек, Магистраль, Аалы Токомбаева",134000,11628520
3,74.0,2,"Бишкек, Магистраль",110000,9545800
1,37.0,9,"Бишкек, Джал 15 м-н, Тыналиева",48500,4208830
1,45.0,3,"Бишкек, 12 м-н, АУЦА",57150,4959477
1,50.0,7,"Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",62500,5423750
3,95.0,10,"Бишкек, Магистраль",162000,14058360
5,167.58,13,"Бишкек, Дворец спорта,  ул.Рыскулова / Коенкозова",251370,21813889
3,126.0,3,"Бишкек, ЖД вокзал, бул. Эркиндик 1",214438,18608930
2,57.0,7,"Бишкек, Арча-Бешик ж/м,  ул. Ак-Шыйрак 44",54000,4686120
1,50.0,10,"Бишкек, Тунгуч м-н",69000,5987820
1,42.0,4,"Бишкек, Магистраль",37800,3280284
2,74.0,9,"Бишкек, Моссовет, Советская",90000,7810200
2,86.0,8,"Бишкек, Магистраль, Токомбаева-Сухэ-батора",141900,12314082
2,44.0,3,"Бишкек, 4 м-н",77500,6725450
1,44.0,3,"Бишкек, Политех, Ахунбаева",70000,6074600
1,45.0,9,"Бишкек, с. Кок-Джар, Алма-Атинская/Южная магистраль",59500,5163410
3,93.3,14,"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",106500,9242070
2,49.0,1,"Бишкек, Джал-29 м-н",75000,6508500
3,100.0,13,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",126000,10934280
2,77.0,2,"Бишкек, Магистраль, Аалы Токомбаева",119000,10326820
3,88.48,12,"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",102000,8851560
3,125.0,5,"Бишкек, Магистраль, просп. Ч. Айтматова 299/3",375000,32542500
3,70.8,3,"Бишкек, ЦУМ",125000,10847500
2,79.0,7,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",87000,7549860
3,95.0,9,"Бишкек, Сквер Тоголок Молдо",175000,15186500
3,78.0,1,"Бишкек, Боталиева - Тулебердиева, Манаса-Васильева 201/2",83500,7246130
1,43.0,10,"Бишкек, Улан м-н",67000,5814260
3,78.5,3,"Бишкек, Джал-23 м-н (Нижний Джал)",105000,9111900
2,72.0,6,"Бишкек, Лебединовка,  ул. Э. Ибраева / Лермонтова.",80500,6985790
2,42.0,2,"Бишкек, Чуй - Алматинка, Восток-5/Чуй/Алматинка",66500,5770870
3,93.0,3,"Бишкек, Асанбай м-н, Куттубаева/Южная Магистраль",168000,14579040
1,48.0,14,"Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",77000,6682060
3,98.0,9,"Бишкек, Магистраль",129000,11194620
2,84.0,9,"Бишкек, Академия Наук",152000,13190560
2,63.0,3,"Бишкек, Академия Наук",115000,9979700
3,90.0,2,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",142000,12322760
3,58.0,3,"Бишкек, Советская - Скрябина",95000,8244100
2,51.47,15,"Бишкек, Карла Маркса,  ул. Юнусалиева, пер.Карасаева",71029,6163862
3,110.0,8,"Бишкек, Магистраль/Токомбаева",235000,20393300
2,75.0,12,"Бишкек, Старый аэропорт/Шота Руставели",127000,11021060
1,35.0,1,"Бишкек, Аламедин-1 м-н",83000,7202740
1,38.0,4,"Бишкек, Джал-23 м-н (Нижний Джал)",55300,4798934
5,109.41,3,"Бишкек, Магистраль, Токомбаева 29",142233,12342980
1,53.3,6,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",55500,4816290
3,120.0,6,"Бишкек, ТЭЦ, Акылбекова 66/2",195000,16922100
1,38.0,3,"Бишкек, АУЦА, Сухэ Батора",71000,6161380
2,66.0,4,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",101000,8764780
3,82.0,7,"Бишкек, КНУ, Фрунзе, 587",132000,11454960
2,46.2,12,"Бишкек, БГУ, Фурманова, 23",97000,8417660
3,87.0,3,"Бишкек, КНУ",138500,12019030
2,45.0,1,"Бишкек, 4 м-н, 4-й микрорайон, 3",78500,6812230
2,43.0,5,"Бишкек, ЖД вокзал, Жоомарта Боконбаева, 138",67500,5857650
3,82.0,2,"Бишкек, Академия Наук",148500,12886830
5,101.4,10,"Бишкек, Магистраль, Арстанбека Дуйшеева, 6",180000,15620400
2,78.5,14,"Бишкек, Магистраль, Магистраль/Сухэ Батора",139000,12062420
1,51.0,3,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",55210,4791124
2,79.0,8,"Бишкек, Магистраль",100000,8678000
3,125.0,8,"Бишкек, Сквер Тоголок Молдо, Логвиненко 8/2/Боконбаева",225000,19525500
3,105.0,14,"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",194250,16839533
3,86.0,8,"Бишкек, Улан-2 м-н",105000,9111900
3,78.0,2,"Бишкек, Матросова",136000,11802080
3,81.0,4,"Бишкек, Лебединовка, Салиева/Калинина",70000,6074600
1,44.5,2,"Бишкек, Горького - Алма-Атинская",43000,3731540
3,90.0,7,"Бишкек, VEFA 7",134000,11628520
2,63.6,10,"Бишкек, Баха, Курчатова 91/1",76500,6638670
1,55.0,1,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",64000,5553920
3,78.0,1,"Иссык-Кульская область, с. Чок-Тал, Лазурный берег",94000,8157320
2,34.0,2,"Бишкек, Ден Сяопина - Фучика",55500,4816290
3,92.0,5,"Бишкек, Сквер Тоголок Молдо, Коенкозова/Чуйкова",128000,11107840
1,48.0,10,"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",48000,4165440
1,22.0,3,"Бишкек, Тунгуч м-н, мкр. Тунгуч",38500,3341030
2,44.0,3,"Бишкек, ЖД вокзал",82000,7115960
1,36.0,1,"Иссык-Кульская область, с. Бостери, Мамытова",47500,4122050
3,106.0,14,"Бишкек, Парк Панфилова/Спартак, Панфилова 190/1",160000,13884800
1,45.0,5,"Бишкек, Горького - Алма-Атинская,  ул. 7-Апреля, 155в/ул. Горького",43500,3774930
