Количество комнат,Площадь,Этаж,Полный адрес,Цена (доллары),Цена (сомы)
2,67 м2,3 этаж из 10,"Бишкек, Улан-2 м-н, 7 апреля",$ 83 500,7 238 615 сом
3,127 м2,5 этаж из 10,"Бишкек, с. Орто-Сай",$ 146 050,12 661 075 сом
3,83 м2,5 этаж из 10,"Бишкек, с. Орто-Сай",$ 99 600,8 634 324 сом
2,42 м2,1 этаж из 4,"Бишкек, Политех",$ 66 000,5 721 540 сом
3,64 м2,5 этаж из 16,"Бишкек, Магистраль, Магистраль/Сухэ Батора",$ 114 000,9 882 660 сом
3,65 м2,1 этаж из 2,"Кара-Балта, Мира 17",$ 69 212,6 000 000 сом
1,50 м2,7 этаж из 14,"Бишкек, Джальская больница, Ахунбаева/тыналиева",$ 52 000,4 507 880 сом
3,122 м2,4 этаж из 12,"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",$ 150 060,13 008 701 сом
2,59 м2,9 этаж из 14,"Бишкек, Магистраль, пр. Ч. Айтматова",$ 91 450,7 927 801 сом
2,66 м2,14 этаж из 16,"Бишкек, Советская - Скрябина, Абая/Ахунбаева",$ 103 000,8 929 070 сом
1,51 м2,16 этаж из 16,"Бишкек, АЮ Grand,  ул.Анкар  1/19",$ 44 800,3 883 712 сом
3,58 м2,2 этаж из 4,"Бишкек, 7 м-н",$ 92 000,7 975 480 сом
3,89 м2,11 этаж из 16,"Бишкек, АЮ Grand,  ул.Анкар  1/19",$ 78 500,6 805 165 сом
2,61 м2,5 этаж из 5,"Бишкек, Боталиева - Тулебердиева, Манаса-Васильева",$ 61 000,5 288 090 сом
3,118 м2,2 этаж из 9,"Бишкек, Горького - Панфилова, Каракульская 1",$ 215 000,18 638 350 сом
3,80 м2,4 этаж из 14,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",$ 182 000,15 777 580 сом
2,54.6 м2,2 этаж из 5,"Бишкек, 5 м-н, Юнусалиева/Суеркулова",$ 87 000,7 542 030 сом
7,424 м2,17 этаж из 17,"Бишкек, Бишкек-Парк",$ 400 000,34 676 000 сом
3,58 м2,5 этаж из 5,"Бишкек, 6 м-н",$ 90 000,7 802 100 сом
2,48 м2,5 этаж из 5,"Бишкек, Аламедин-1 м-н",$ 71 000,6 154 990 сом
2,45 м2,4 этаж из 4,Сокулук,$ 55 000,4 767 950 сом
